2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
20-24,"5,772","2,819","2,953","3,592","1,846","1,746","2,180",973,"1,207",,"6,841","3,341","3,500","2,708","1,262","1,446","4,133","2,079","2,054",,,,,,,,,,,,,,,
25-29,"4,748","2,311","2,437","2,862","1,424","1,438","1,886",887,999,,"5,455","2,430","3,025","2,614","1,200","1,414","2,841","1,230","1,611",,,,,,,,,,,,,,,
30-34,"3,565","1,771","1,794","2,143","1,062","1,081","1,422",709,713,,"4,963","2,352","2,611","2,537","1,251","1,286","2,426","1,101","1,325",,,,,,,,,,,,,,,
35-39,"2,667","1,387","1,280","1,742",900,842,925,487,438,,"4,310","2,111","2,199","2,376","1,197","1,179","1,934",914,"1,020",,,,,,,,,,,,,,,
40-44,"2,170","1,156","1,014","1,423",768,655,747,388,359,,"3,315","1,704","1,611","1,893","1,033",860,"1,422",671,751,,,,,,,,,,,,,,,
45-49,"1,790",918,872,"1,248",609,639,542,309,233,,"2,467","1,283","1,184","1,464",767,697,"1,003",516,487,,,,,,,,,,,,,,,
50-54,"1,641",794,847,"1,226",584,642,415,210,205,,"2,141","1,077","1,064","1,293",637,656,848,440,408,,,,,,,,,,,,,,,
55-59,"1,150",565,585,888,446,442,262,119,143,,"1,419",758,661,897,448,449,522,310,212,,,,,,,,,,,,,,,
60-64,"1,339",623,716,"1,068",503,565,271,120,151,,"1,667",818,849,"1,167",580,587,500,238,262,,,,,,,,,,,,,,,
65-69,995,455,540,794,359,435,201,96,105,,"1,111",541,570,823,403,420,288,138,150,,,,,,,,,,,,,,,
70-74,933,464,469,784,396,388,149,68,81,,"1,100",530,570,836,411,425,264,119,145,,,,,,,,,,,,,,,
75-79,532,298,234,451,258,193,81,40,41,,671,326,345,498,240,258,173,86,87,,,,,,,,,,,,,,,
80+,789,376,413,658,319,339,131,57,74,,"1,244",516,728,968,410,558,276,106,170,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.3 Kisarawe District Council : Total Population by  Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 6.3 Kisarawe District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"95,323","48,152","47,171","80,817","41,001","39,816","14,506","7,151","7,355",,"99,635","49,477","50,158","82,848","41,425","41,423","16,787","8,052","8,735",,,,,,,,,,,,,,,
0-4,"12,240","6,142","6,098","10,473","5,272","5,201","1,767",870,897,,"13,098","6,593","6,505","11,114","5,629","5,485","1,984",964,"1,020",,,,,,,,,,,,,,,
9-May,"11,315","5,835","5,480","9,727","5,051","4,676","1,588",784,804,,"12,612","6,483","6,129","10,781","5,571","5,210","1,831",912,919,,,,,,,,,,,,,,,
4-Oct,"10,807","5,736","5,071","9,028","4,821","4,207","1,779",915,864,,"11,198","5,808","5,390","9,335","4,902","4,433","1,863",906,957,,,,,,,,,,,,,,,
15-19,"9,526","5,079","4,447","7,777","4,196","3,581","1,749",883,866,,"8,250","4,327","3,923","6,421","3,455","2,966","1,829",872,957,,,,,,,,,,,,,,,
20-24,"8,130","3,942","4,188","6,569","3,224","3,345","1,561",718,843,,"7,338","3,360","3,978","5,573","2,539","3,034","1,765",821,944,,,,,,,,,,,,,,,
25-29,"7,363","3,777","3,586","6,094","3,142","2,952","1,269",635,634,,"7,011","3,165","3,846","5,603","2,535","3,068","1,408",630,778,,,,,,,,,,,,,,,
30-34,"5,937","3,096","2,841","4,916","2,576","2,340","1,021",520,501,,"6,755","3,252","3,503","5,449","2,648","2,801","1,306",604,702,,,,,,,,,,,,,,,
35-39,"4,576","2,347","2,229","3,778","1,950","1,828",798,397,401,,"6,127","3,141","2,986","5,038","2,580","2,458","1,089",561,528,,,,,,,,,,,,,,,
40-44,"3,917","2,051","1,866","3,278","1,722","1,556",639,329,310,,"4,780","2,526","2,254","3,922","2,111","1,811",858,415,443,,,,,,,,,,,,,,,
45-49,"3,351","1,600","1,751","2,830","1,338","1,492",521,262,259,,"3,929","2,021","1,908","3,305","1,722","1,583",624,299,325,,,,,,,,,,,,,,,
50-54,"3,322","1,544","1,778","2,897","1,333","1,564",425,211,214,,"3,621","1,810","1,811","3,019","1,496","1,523",602,314,288,,,,,,,,,,,,,,,
55-59,"2,577","1,204","1,373","2,288","1,056","1,232",289,148,141,,"2,603","1,317","1,286","2,190","1,088","1,102",413,229,184,,,,,,,,,,,,,,,
60-64,"3,144","1,453","1,691","2,826","1,303","1,523",318,150,168,,"3,040","1,432","1,608","2,689","1,253","1,436",351,179,172,,,,,,,,,,,,,,,
65-69,"2,576","1,202","1,374","2,331","1,093","1,238",245,109,136,,"2,192","1,021","1,171","1,980",925,"1,055",212,96,116,,,,,,,,,,,,,,,
70-74,"2,420","1,161","1,259","2,219","1,068","1,151",201,93,108,,"2,500","1,151","1,349","2,267","1,062","1,205",233,89,144,,,,,,,,,,,,,,,
75-79,"1,554",790,764,"1,429",741,688,125,49,76,,"1,533",759,774,"1,392",691,701,141,68,73,,,,,,,,,,,,,,,
80+,"2,568","1,193","1,375","2,357","1,115","1,242",211,78,133,,"3,048","1,311","1,737","2,770","1,218","1,552",278,93,185,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.4 Mkuranga District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 6.4 Mkuranga District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"186,927","91,411","95,516","165,798","81,407","84,391","21,129","10,004","11,125",,"216,106","104,313","111,793","180,724","88,057","92,667","35,382","16,256","19,126",,,,,,,,,,,,,,,
0-4,"28,490","14,203","14,287","25,437","12,728","12,709","3,053","1,475","1,578",,"31,347","15,773","15,574","26,358","13,265","13,093","4,989","2,508","2,481",,,,,,,,,,,,,,,
9-May,"26,756","13,648","13,108","24,170","12,370","11,800","2,586","1,278","1,308",,"31,986","16,234","15,752","27,264","13,888","13,376","4,722","2,346","2,376",,,,,,,,,,,,,,,
4-Oct,"23,152","11,981","11,171","20,756","10,802","9,954","2,396","1,179","1,217",,"28,078","14,361","13,717","23,814","12,328","11,486","4,264","2,033","2,231",,,,,,,,,,,,,,,
15-19,"18,552","9,254","9,298","16,136","8,117","8,019","2,416","1,137","1,279",,"19,135","9,737","9,398","15,591","8,123","7,468","3,544","1,614","1,930",,,,,,,,,,,,,,,
20-24,"15,025","6,717","8,308","12,771","5,752","7,019","2,254",965,"1,289",,"14,945","6,105","8,840","11,664","4,882","6,782","3,281","1,223","2,058",,,,,,,,,,,,,,,
25-29,"13,523","6,105","7,418","11,500","5,185","6,315","2,023",920,"1,103",,"14,464","5,768","8,696","11,365","4,598","6,767","3,099","1,170","1,929",,,,,,,,,,,,,,,
30-34,"11,247","5,394","5,853","9,741","4,649","5,092","1,506",745,761,,"14,046","6,240","7,806","11,188","4,943","6,245","2,858","1,297","1,561",,,,,,,,,,,,,,,
35-39,"8,597","4,219","4,378","7,484","3,668","3,816","1,113",551,562,,"12,030","5,566","6,464","9,821","4,575","5,246","2,209",991,"1,218",,,,,,,,,,,,,,,
40-44,"7,302","3,551","3,751","6,456","3,116","3,340",846,435,411,,"9,923","4,917","5,006","8,226","4,085","4,141","1,697",832,865,,,,,,,,,,,,,,,
45-49,"5,739","2,599","3,140","5,138","2,308","2,830",601,291,310,,"7,722","3,878","3,844","6,568","3,293","3,275","1,154",585,569,,,,,,,,,,,,,,,
50-54,"5,712","2,695","3,017","5,149","2,433","2,716",563,262,301,,"7,196","3,603","3,593","6,176","3,110","3,066","1,020",493,527,,,,,,,,,,,,,,,
55-59,"4,193","1,939","2,254","3,842","1,764","2,078",351,175,176,,"4,472","2,202","2,270","3,857","1,912","1,945",615,290,325,,,,,,,,,,,,,,,
60-64,"5,085","2,460","2,625","4,690","2,271","2,419",395,189,206,,"5,380","2,664","2,716","4,767","2,341","2,426",613,323,290,,,,,,,,,,,,,,,
65-69,"3,798","1,849","1,949","3,495","1,718","1,777",303,131,172,,"3,595","1,695","1,900","3,244","1,533","1,711",351,162,189,,,,,,,,,,,,,,,
70-74,"3,666","1,820","1,846","3,427","1,726","1,701",239,94,145,,"4,119","2,024","2,095","3,748","1,863","1,885",371,161,210,,,,,,,,,,,,,,,
75-79,"2,214","1,175","1,039","2,048","1,112",936,166,63,103,,"2,470","1,257","1,213","2,280","1,174","1,106",190,83,107,,,,,,,,,,,,,,,
80+,"3,876","1,802","2,074","3,558","1,688","1,870",318,114,204,,"5,198","2,289","2,909","4,793","2,144","2,649",405,145,260,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.5 Rufiji District Council : Total Population by  Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 6.5 Rufiji District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"202,001","97,735","104,266","158,301","77,070","81,231","43,700","20,665","23,035",,"213,069","102,381","110,688","158,019","76,745","81,274","55,050","25,636","29,414",,,,,,,,,,,,,,,
0-4,"32,661","16,309","16,352","25,955","12,943","13,012","6,706","3,366","3,340",,"33,074","16,582","16,492","25,208","12,737","12,471","7,866","3,845","4,021",,,,,,,,,,,,,,,
9-May,"29,691","15,100","14,591","24,140","12,298","11,842","5,551","2,802","2,749",,"33,903","17,269","16,634","25,860","13,273","12,587","8,043","3,996","4,047",,,,,,,,,,,,,,,
4-Oct,"25,220","13,103","12,117","19,824","10,379","9,445","5,396","2,724","2,672",,"28,814","14,759","14,055","21,608","11,162","10,446","7,206","3,597","3,609",,,,,,,,,,,,,,,
15-19,"19,901","9,847","10,054","15,333","7,561","7,772","4,568","2,286","2,282",,"18,715","9,534","9,181","13,421","6,964","6,457","5,294","2,570","2,724",,,,,,,,,,,,,,,
20-24,"16,025","6,819","9,206","12,052","5,195","6,857","3,973","1,624","2,349",,"15,226","6,302","8,924","10,609","4,415","6,194","4,617","1,887","2,730",,,,,,,,,,,,,,,
25-29,"14,995","6,735","8,260","11,315","5,077","6,238","3,680","1,658","2,022",,"13,800","5,696","8,104","9,756","4,020","5,736","4,044","1,676","2,368",,,,,,,,,,,,,,,
30-34,"12,180","5,814","6,366","9,314","4,465","4,849","2,866","1,349","1,517",,"12,888","5,501","7,387","9,211","3,956","5,255","3,677","1,545","2,132",,,,,,,,,,,,,,,
35-39,"8,931","4,408","4,523","6,888","3,442","3,446","2,043",966,"1,077",,"10,699","4,877","5,822","7,794","3,557","4,237","2,905","1,320","1,585",,,,,,,,,,,,,,,
40-44,"7,349","3,493","3,856","5,737","2,684","3,053","1,612",809,803,,"9,241","4,510","4,731","6,891","3,364","3,527","2,350","1,146","1,204",,,,,,,,,,,,,,,
45-49,"5,801","2,602","3,199","4,557","2,044","2,513","1,244",558,686,,"6,811","3,316","3,495","5,049","2,483","2,566","1,762",833,929,,,,,,,,,,,,,,,
50-54,"5,721","2,440","3,281","4,572","1,962","2,610","1,149",478,671,,"6,410","3,141","3,269","4,784","2,338","2,446","1,626",803,823,,,,,,,,,,,,,,,
55-59,"4,104","1,867","2,237","3,257","1,512","1,745",847,355,492,,"3,919","1,963","1,956","2,884","1,438","1,446","1,035",525,510,,,,,,,,,,,,,,,
60-64,"5,343","2,431","2,912","4,278","1,984","2,294","1,065",447,618,,"4,829","2,178","2,651","3,672","1,698","1,974","1,157",480,677,,,,,,,,,,,,,,,
65-69,"3,575","1,702","1,873","2,826","1,383","1,443",749,319,430,,"3,178","1,466","1,712","2,398","1,131","1,267",780,335,445,,,,,,,,,,,,,,,
70-74,"3,903","1,930","1,973","3,102","1,569","1,533",801,361,440,,"3,986","1,941","2,045","3,048","1,544","1,504",938,397,541,,,,,,,,,,,,,,,
75-79,"2,236","1,130","1,106","1,772",938,834,464,192,272,,"2,181","1,032","1,149","1,677",808,869,504,224,280,,,,,,,,,,,,,,,
80+,"4,365","2,005","2,360","3,379","1,634","1,745",986,371,615,,"5,395","2,314","3,081","4,149","1,857","2,292","1,246",457,789,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.6 Mafia District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 6.6 Mafia District Council : Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"40,557","20,564","19,993","31,560","16,116","15,444","8,997","4,448","4,549",,"45,545","22,327","23,218","33,667","16,729","16,938","11,878","5,598","6,280",,,,,,,,,,,,,,,
0-4,"5,193","2,591","2,602","4,030","2,005","2,025","1,163",586,577,,"6,005","2,968","3,037","4,294","2,128","2,166","1,711",840,871,,,,,,,,,,,,,,,
9-May,"5,428","2,701","2,727","4,388","2,212","2,176","1,040",489,551,,"5,676","2,766","2,910","4,277","2,094","2,183","1,399",672,727,,,,,,,,,,,,,,,
4-Oct,"5,261","2,711","2,550","4,241","2,224","2,017","1,020",487,533,,"5,526","2,779","2,747","4,226","2,159","2,067","1,300",620,680,,,,,,,,,,,,,,,
15-19,"4,471","2,285","2,186","3,376","1,765","1,611","1,095",520,575,,"4,614","2,284","2,330","3,419","1,760","1,659","1,195",524,671,,,,,,,,,,,,,,,
20-24,"3,791","1,776","2,015","2,719","1,288","1,431","1,072",488,584,,"4,132","1,763","2,369","2,876","1,279","1,597","1,256",484,772,,,,,,,,,,,,,,,
25-29,"3,577","1,760","1,817","2,625","1,313","1,312",952,447,505,,"3,994","1,829","2,165","2,737","1,265","1,472","1,257",564,693,,,,,,,,,,,,,,,
30-34,"3,020","1,599","1,421","2,249","1,188","1,061",771,411,360,,"3,493","1,682","1,811","2,375","1,153","1,222","1,118",529,589,,,,,,,,,,,,,,,
35-39,"2,285","1,205","1,080","1,732",900,832,553,305,248,,"2,940","1,448","1,492","2,133","1,063","1,070",807,385,422,,,,,,,,,,,,,,,
40-44,"1,801","1,006",795,"1,420",775,645,381,231,150,,"2,249","1,176","1,073","1,662",853,809,587,323,264,,,,,,,,,,,,,,,
45-49,"1,193",636,557,952,504,448,241,132,109,,"1,597",878,719,"1,251",665,586,346,213,133,,,,,,,,,,,,,,,
50-54,"1,274",625,649,"1,061",514,547,213,111,102,,"1,499",801,698,"1,204",647,557,295,154,141,,,,,,,,,,,,,,,
55-59,669,385,284,548,308,240,121,77,44,,760,433,327,601,349,252,159,84,75,,,,,,,,,,,,,,,
60-64,892,427,465,746,372,374,146,55,91,,941,508,433,789,416,373,152,92,60,,,,,,,,,,,,,,,
65-69,467,244,223,395,204,191,72,40,32,,529,267,262,449,227,222,80,40,40,,,,,,,,,,,,,,,
70-74,550,291,259,486,260,226,64,31,33,,680,350,330,599,319,280,81,31,50,,,,,,,,,,,,,,,
75-79,227,111,116,200,99,101,27,12,15,,296,142,154,256,128,128,40,14,26,,,,,,,,,,,,,,,
80+,458,211,247,392,185,207,66,26,40,,614,253,361,519,224,295,95,29,66,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 6.7 Kibaha Town Council : Total Population by  Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 6.7 Kibaha Town Council : Total Population by  Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"77,831","39,160","38,671","38,461","19,904","18,557","39,370","19,256","20,114",,"125,535","60,875","64,660",0,0,0,"125,535","60,875","64,660",,,,,,,,,,,,,,,
0-4,"9,403","4,799","4,604","4,689","2,392","2,297","4,714","2,407","2,307",,"15,543","7,863","7,680",0,0,0,"15,543","7,863","7,680",,,,,,,,,,,,,,,
9-May,"9,359","4,742","4,617","4,684","2,419","2,265","4,675","2,323","2,352",,"14,736","7,352","7,384",0,0,0,"14,736","7,352","7,384",,,,,,,,,,,,,,,
4-Oct,"9,094","4,466","4,628","4,406","2,210","2,196","4,688","2,256","2,432",,"13,625","6,609","7,016",0,0,0,"13,625","6,609","7,016",,,,,,,,,,,,,,,
15-19,"8,567","4,237","4,330","4,160","2,223","1,937","4,407","2,014","2,393",,"13,794","6,374","7,420",0,0,0,"13,794","6,374","7,420",,,,,,,,,,,,,,,
20-24,"8,604","4,098","4,506","3,810","1,930","1,880","4,794","2,168","2,626",,"13,683","6,160","7,523",0,0,0,"13,683","6,160","7,523",,,,,,,,,,,,,,,
25-29,"7,464","3,750","3,714","3,367","1,793","1,574","4,097","1,957","2,140",,"11,786","5,422","6,364",0,0,0,"11,786","5,422","6,364",,,,,,,,,,,,,,,
30-34,"5,771","2,999","2,772","2,752","1,497","1,255","3,019","1,502","1,517",,"10,064","4,868","5,196",0,0,0,"10,064","4,868","5,196",,,,,,,,,,,,,,,
35-39,"4,211","2,180","2,031","1,970","1,038",932,"2,241","1,142","1,099",,"7,913","3,913","4,000",0,0,0,"7,913","3,913","4,000",,,,,,,,,,,,,,,
40-44,"3,375","1,838","1,537","1,624",872,752,"1,751",966,785,,"6,036","3,080","2,956",0,0,0,"6,036","3,080","2,956",,,,,,,,,,,,,,,
45-49,"2,587","1,371","1,216","1,295",673,622,"1,292",698,594,,"4,379","2,277","2,102",0,0,0,"4,379","2,277","2,102",,,,,,,,,,,,,,,
50-54,"2,312","1,169","1,143","1,276",616,660,"1,036",553,483,,"3,709","1,973","1,736",0,0,0,"3,709","1,973","1,736",,,,,,,,,,,,,,,
55-59,"1,401",736,665,816,418,398,585,318,267,,"2,535","1,296","1,239",0,0,0,"2,535","1,296","1,239",,,,,,,,,,,,,,,
60-64,"1,720",808,912,"1,089",505,584,631,303,328,,"2,452","1,275","1,177",0,0,0,"2,452","1,275","1,177",,,,,,,,,,,,,,,
65-69,"1,151",566,585,727,366,361,424,200,224,,"1,489",725,764,0,0,0,"1,489",725,764,,,,,,,,,,,,,,,
70-74,"1,137",568,569,714,381,333,423,187,236,,"1,429",659,770,0,0,0,"1,429",659,770,,,,,,,,,,,,,,,
75-79,646,337,309,395,224,171,251,113,138,,822,398,424,0,0,0,822,398,424,,,,,,,,,,,,,,,
80+,"1,029",496,533,687,347,340,342,149,193,,"1,540",631,909,0,0,0,"1,540",631,909,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.0  Dar- es- Salaam Region: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 7.0  Dar- es- Salaam Region: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"2,487,288","1,254,853","1,232,435","151,233","78,622","72,611","2,336,055","1,176,231","1,159,824",,"4,279,032","2,077,246","2,201,786",0,0,0,"4,279,032","2,077,246","2,201,786",,,,,,,,,,,,,,,
0-4,"288,612","145,513","143,099","19,875","9,991","9,884","268,737","135,522","133,215",,"520,707","261,296","259,411",0,0,0,"520,707","261,296","259,411",,,,,,,,,,,,,,,
9-May,"269,253","132,941","136,312","18,091","9,034","9,057","251,162","123,907","127,255",,"437,936","217,539","220,397",0,0,0,"437,936","217,539","220,397",,,,,,,,,,,,,,,
4-Oct,"258,874","124,787","134,087","16,733","8,468","8,265","242,141","116,319","125,822",,"399,698","189,796","209,902",0,0,0,"399,698","189,796","209,902",,,,,,,,,,,,,,,
15-19,"290,560","130,294","160,266","15,162","7,559","7,603","275,398","122,735","152,663",,"479,082","203,770","275,312",0,0,0,"479,082","203,770","275,312",,,,,,,,,,,,,,,
20-24,"342,146","159,990","182,156","17,671","9,280","8,391","324,475","150,710","173,765",,"535,912","238,493","297,419",0,0,0,"535,912","238,493","297,419",,,,,,,,,,,,,,,
25-29,"303,627","152,992","150,635","14,887","7,985","6,902","288,740","145,007","143,733",,"489,307","230,020","259,287",0,0,0,"489,307","230,020","259,287",,,,,,,,,,,,,,,
30-34,"223,524","121,148","102,376","11,609","6,558","5,051","211,915","114,590","97,325",,"405,692","202,093","203,599",0,0,0,"405,692","202,093","203,599",,,,,,,,,,,,,,,
35-39,"151,174","83,451","67,723","8,463","4,800","3,663","142,711","78,651","64,060",,"309,107","159,568","149,539",0,0,0,"309,107","159,568","149,539",,,,,,,,,,,,,,,
40-44,"110,086","62,756","47,330","6,546","3,680","2,866","103,540","59,076","44,464",,"218,227","118,203","100,024",0,0,0,"218,227","118,203","100,024",,,,,,,,,,,,,,,
45-49,"76,374","44,297","32,077","4,760","2,555","2,205","71,614","41,742","29,872",,"154,667","78,239","76,428",0,0,0,"154,667","78,239","76,428",,,,,,,,,,,,,,,
50-54,"59,189","35,977","23,212","4,225","2,271","1,954","54,964","33,706","21,258",,"109,089","60,711","48,378",0,0,0,"109,089","60,711","48,378",,,,,,,,,,,,,,,
55-59,"33,269","20,270","12,999","2,887","1,535","1,352","30,382","18,735","11,647",,"70,361","39,485","30,876",0,0,0,"70,361","39,485","30,876",,,,,,,,,,,,,,,
60-64,"28,595","15,735","12,860","3,039","1,434","1,605","25,556","14,301","11,255",,"57,578","32,394","25,184",0,0,0,"57,578","32,394","25,184",,,,,,,,,,,,,,,
65-69,"17,593","9,214","8,379","2,173","1,100","1,073","15,420","8,114","7,306",,"31,457","17,499","13,958",0,0,0,"31,457","17,499","13,958",,,,,,,,,,,,,,,
70-74,"14,650","7,041","7,609","2,030",971,"1,059","12,620","6,070","6,550",,"24,818","12,574","12,244",0,0,0,"24,818","12,574","12,244",,,,,,,,,,,,,,,
75-79,"8,106","3,841","4,265","1,204",611,593,"6,902","3,230","3,672",,"14,052","6,939","7,113",0,0,0,"14,052","6,939","7,113",,,,,,,,,,,,,,,
80+,"11,656","4,606","7,050","1,878",790,"1,088","9,778","3,816","5,962",,"21,342","8,627","12,715",0,0,0,"21,342","8,627","12,715",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2002 TPHC,,,,,,,,,,,2012 TPHC,,,,,,,,,,,,,,,,,,,,,,,
"Table 7.1  Kinondoni  Municipal Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 7.1  Kinondoni  Municipal Council: Total Population by Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
Total,"1,083,913","547,081","536,832","56,688","29,927","26,761","1,027,225","517,154","510,071",,"1,738,045","840,424","897,621",0,0,0,"1,738,045","840,424","897,621",,,,,,,,,,,,,,,
0-4,"119,908","60,466","59,442","6,860","3,475","3,385","113,048","56,991","56,057",,"204,589","102,707","101,882",0,0,0,"204,589","102,707","101,882",,,,,,,,,,,,,,,
9-May,"111,623","54,950","56,673","6,436","3,175","3,261","105,187","51,775","53,412",,"165,772","82,688","83,084",0,0,0,"165,772","82,688","83,084",,,,,,,,,,,,,,,
4-Oct,"109,047","52,337","56,710","5,962","2,887","3,075","103,085","49,450","53,635",,"151,880","71,340","80,540",0,0,0,"151,880","71,340","80,540",,,,,,,,,,,,,,,
15-19,"128,976","56,600","72,376","5,955","2,763","3,192","123,021","53,837","69,184",,"197,554","81,452","116,102",0,0,0,"197,554","81,452","116,102",,,,,,,,,,,,,,,
20-24,"157,609","73,995","83,614","7,744","4,335","3,409","149,865","69,660","80,205",,"229,701","101,478","128,223",0,0,0,"229,701","101,478","128,223",,,,,,,,,,,,,,,
25-29,"139,231","71,007","68,224","5,777","3,213","2,564","133,454","67,794","65,660",,"208,154","98,326","109,828",0,0,0,"208,154","98,326","109,828",,,,,,,,,,,,,,,
30-34,"99,928","54,761","45,167","4,533","2,582","1,951","95,395","52,179","43,216",,"170,043","85,146","84,897",0,0,0,"170,043","85,146","84,897",,,,,,,,,,,,,,,
35-39,"66,022","36,530","29,492","3,308","1,933","1,375","62,714","34,597","28,117",,"128,171","66,614","61,557",0,0,0,"128,171","66,614","61,557",,,,,,,,,,,,,,,
40-44,"47,283","26,837","20,446","2,532","1,470","1,062","44,751","25,367","19,384",,"89,292","48,615","40,677",0,0,0,"89,292","48,615","40,677",,,,,,,,,,,,,,,
45-49,"32,958","18,998","13,960","1,824","1,045",779,"31,134","17,953","13,181",,"61,771","31,270","30,501",0,0,0,"61,771","31,270","30,501",,,,,,,,,,,,,,,
