2002 TPHC ,,,,,,,,,,,2012 TPHC ,,,,,,,,,,,,,,,,,,,,,,,
"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,"Table 1.0: Dodoma Region: Total Population by Age in Five Years Age Groups, Sex and Residence",,,,,,,,,,,,,,,,,,,,,,,
Age,Total,,,Rural,,,Urban,,,,Total,,,Rural,,,Urban,,,,,,,,,,,,,,,,,
,Total,Male,Female,Total,Male,Female,Total,Male,Female,,Total,Male,Female,Total,Male,Female,Total,Male,Female,,,,,,,,,,,,,,,
40-44,"8,912","4,349","4,563","8,132","3,956","4,176",780,393,387,,"10,909","5,301","5,608","9,775","4,755","5,020","1,134",546,588,,,,,,,,,,,,,,,
45-49,"6,915","3,169","3,746","6,295","2,853","3,442",620,316,304,,"8,753","4,447","4,306","7,845","3,993","3,852",908,454,454,,,,,,,,,,,,,,,
50-54,"6,021","2,779","3,242","5,544","2,552","2,992",477,227,250,,"8,649","4,369","4,280","7,792","3,969","3,823",857,400,457,,,,,,,,,,,,,,,
55-59,"4,663","2,186","2,477","4,287","1,992","2,295",376,194,182,,"5,339","2,696","2,643","4,777","2,400","2,377",562,296,266,,,,,,,,,,,,,,,
60-64,"5,383","2,541","2,842","4,985","2,359","2,626",398,182,216,,"5,675","2,768","2,907","5,141","2,506","2,635",534,262,272,,,,,,,,,,,,,,,
65-69,"3,903","1,956","1,947","3,670","1,844","1,826",233,112,121,,"3,858","1,866","1,992","3,523","1,718","1,805",335,148,187,,,,,,,,,,,,,,,
70-74,"3,625","1,859","1,766","3,373","1,754","1,619",252,105,147,,"4,425","2,112","2,313","4,066","1,956","2,110",359,156,203,,,,,,,,,,,,,,,
75-79,"2,021","1,062",959,"1,916","1,025",891,105,37,68,,"2,653","1,406","1,247","2,443","1,310","1,133",210,96,114,,,,,,,,,,,,,,,
80+,"2,728","1,391","1,337","2,555","1,338","1,217",173,53,120,,"4,488","2,087","2,401","4,177","1,975","2,202",311,112,199,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
